variable,mean,median,10%,90%,feature,type,player_id,player_name,last_name,first_name,handed,birth_date,position_group,primary_position
beta[11],0.6416623912215408,0.6443850108954535,-0.96648001571251,2.245831825224592,0753b094-9e2f-976d-85c8-d22a1d280e8d_PP,PP,0753b094-9e2f-976d-85c8-d22a1d280e8d,"Jiricek, David",Jiricek,David,R,2003-11-28,D,D
beta[12],0.12464533304524264,0.11482896404030582,-1.3962275803052175,1.648895555824641,cb8a6b8b-c5a6-4bfe-10b7-15c784b83a7d_PP,PP,cb8a6b8b-c5a6-4bfe-10b7-15c784b83a7d,"Bjork, Marcus",Bjork,Marcus,R,1997-11-24,D,D
beta[13],-0.39324221246833024,-0.3862452329627728,-1.8537767658216184,1.0394683293339608,015f554a-21c0-99bc-0a31-a176810b40c6_PK,PK,015f554a-21c0-99bc-0a31-a176810b40c6,"Shine, Dominik",Shine,Dominik,R,1993-04-18,F,RW
beta[14],4.924348105203095e-4,-0.00913759068150381,-1.5642525444776176,1.5284683482846824,3370b39f-9497-a447-d667-be719f33b140_PK,PK,3370b39f-9497-a447-d667-be719f33b140,"Newpower, Wyatt",Newpower,Wyatt,R,1997-12-09,D,D
beta[15],1.665071869656207,1.6655350395915542,0.12486729203405303,3.2085094773436578,4772aa22-208f-44a0-8e47-0029da368b48_PK,PK,4772aa22-208f-44a0-8e47-0029da368b48,"Kasper, Marco",Kasper,Marco,L,2004-04-08,F,C
beta[16],-0.46728605094180253,-0.45745179193424923,-1.878048872928173,0.9433837483937316,9cdb062f-6fc7-e205-1858-d4f6f32237a4_PK,PK,9cdb062f-6fc7-e205-1858-d4f6f32237a4,"Johansson, Albert",Johansson,Albert,L,2001-01-04,D,D
beta[17],-0.7378638650241856,-0.7344486547033239,-2.339142149466673,0.8402212188176519,42e3b869-a651-df12-3291-53f0f3320501_PK,PK,42e3b869-a651-df12-3291-53f0f3320501,"Gettinger, Timothy",Gettinger,Timothy,L,1998-04-14,F,LW
beta[18],-0.22170160625977212,-0.2192268562435491,-2.036842573706791,1.583947867519013,0f052c34-6cd2-f4fd-a861-d9051a8e86e4_PP,PP,0f052c34-6cd2-f4fd-a861-d9051a8e86e4,"Angle, Tyler",Angle,Tyler,L,2000-09-30,F,F
beta[19],-0.14462176375106414,-0.13718000147441695,-2.071890383535129,1.7686398158480034,7a213ae8-292c-bc7f-83dd-7b14bdcadde1_PK,PK,7a213ae8-292c-bc7f-83dd-7b14bdcadde1,"Berggren, Jonatan",Berggren,Jonatan,L,2000-07-16,F,RW
beta[20],0.06802626494889841,0.08160823927709422,-1.8085608196633802,1.9304324281649614,47d857f2-7d2a-edfc-e1c5-73767c716a2f_PP,PP,47d857f2-7d2a-edfc-e1c5-73767c716a2f,"Sweezey, Billy",Sweezey,Billy,R,1996-02-06,D,D
beta[21],-0.5770295106934608,-0.5795928348735221,-2.092288525772908,0.9419828155998353,663df049-a045-0561-16e3-1db633a0723e_PK,PK,663df049-a045-0561-16e3-1db633a0723e,"Aston-Reese, Zachary",Aston-Reese,Zachary,L,1994-08-10,F,C
beta[22],0.5060141332578919,0.5133039058251997,-1.0017318352137075,2.0060352223828493,efbd8365-7b4a-13f4-6a00-d77d11d64910_PP,PP,efbd8365-7b4a-13f4-6a00-d77d11d64910,"Christiansen, Jake",Christiansen,Jake,L,1999-09-12,D,D
beta[23],-0.05299250070251371,-0.04590323466924946,-1.8467959531240998,1.7379932466253558,27be5d93-9bc0-8a87-41dd-e96fea901efc_PP,PP,27be5d93-9bc0-8a87-41dd-e96fea901efc,"Ceulemans, Corson",Ceulemans,Corson,R,2003-05-05,D,D
beta[24],-0.4537238499114924,-0.4499072635104553,-1.9356750759436945,1.0382714496036225,3c4adeaf-5301-5206-c1cb-16db210f2864_PP,PP,3c4adeaf-5301-5206-c1cb-16db210f2864,"Sillinger, Owen",Sillinger,Owen,L,1997-09-23,F,LW
beta[25],0.16205845093338253,0.14825150390708539,-1.3811751323490244,1.6921598767738817,4447229a-e693-b7a3-6bbe-f464ae9917c4_PP,PP,4447229a-e693-b7a3-6bbe-f464ae9917c4,"Pyyhtia, Mikael",Pyyhtia,Mikael,L,2001-12-17,F,LW
beta[26],-1.236926521777936,-1.236762063221391,-2.795585606195231,0.3057090725948296,dc5a9c10-c8d3-52bc-fd80-b7186f383b34_PP,PP,dc5a9c10-c8d3-52bc-fd80-b7186f383b34,"McKown, Hunter",McKown,Hunter,R,2002-08-18,F,C
beta[27],0.8316326347274807,0.8273825458483473,-0.8819754379648659,2.531631860046402,a4295efe-fc21-2338-bbe4-dced606dadca_PK,PK,a4295efe-fc21-2338-bbe4-dced606dadca,"Wallinder, William",Wallinder,William,L,2002-07-28,D,D
beta[28],-1.0288706112728803,-1.0347182299010793,-2.4475672998992595,0.39501178568299816,3c4adeaf-5301-5206-c1cb-16db210f2864_PK,PK,3c4adeaf-5301-5206-c1cb-16db210f2864,"Sillinger, Owen",Sillinger,Owen,L,1997-09-23,F,LW
beta[29],0.02067069920451873,0.008331611045273022,-1.4030672381347669,1.4425309338695596,6eb5f6c3-b657-5df9-6027-43ce18a2cca6_PK,PK,6eb5f6c3-b657-5df9-6027-43ce18a2cca6,"Greaves, Jet",Greaves,Jet,L,2001-03-30,G,G
beta[30],0.3478042367574577,0.342601003328378,-1.1024273553950312,1.8116717113635301,8cdcb61e-d733-bde6-a101-ef3140e48149_PP,PP,8cdcb61e-d733-bde6-a101-ef3140e48149,"L'Esperance, Joel",L'Esperance,Joel,R,1995-08-18,F,RW
beta[31],1.4599547941298263,1.449861766866726,0.009693431700958518,2.930448893933978,24d2bb10-73c1-950e-69b2-8ed8ea9fc132_PP,PP,24d2bb10-73c1-950e-69b2-8ed8ea9fc132,"Cossa, Sebastian",Cossa,Sebastian,L,2002-11-21,G,G
beta[32],-1.32343999299782,-1.3299584333563728,-2.8518662789707947,0.20383255909521025,0f052c34-6cd2-f4fd-a861-d9051a8e86e4_PK,PK,0f052c34-6cd2-f4fd-a861-d9051a8e86e4,"Angle, Tyler",Angle,Tyler,L,2000-09-30,F,F
beta[33],-0.8372418679377037,-0.8319251616303605,-2.2466423314218815,0.6057244831718399,efbd8365-7b4a-13f4-6a00-d77d11d64910_PK,PK,efbd8365-7b4a-13f4-6a00-d77d11d64910,"Christiansen, Jake",Christiansen,Jake,L,1999-09-12,D,D
beta[34],1.0390888676410461,1.0398308765498085,-0.527612144637287,2.5868989444445654,cf9158fc-30e9-680c-b9e5-b65717e1e000_PP,PP,cf9158fc-30e9-680c-b9e5-b65717e1e000,"Czarnik, Austin",Czarnik,Austin,R,1992-12-12,F,C
beta[35],-0.43830798355413875,-0.43880813159914894,-1.8924552457304473,1.027793824486593,8bd8e696-4514-a5d5-792b-80b002761f46_PP,PP,8bd8e696-4514-a5d5-792b-80b002761f46,"Hirose, Taro",Hirose,Taro,L,1996-06-30,F,LW
beta[36],-0.699746034163922,-0.697304251166023,-2.260488493563961,0.8526364638282381,a434fff2-8e1b-5bc6-1759-b545496778b5_PP,PP,a434fff2-8e1b-5bc6-1759-b545496778b5,"Edvinsson, Simon",Edvinsson,Simon,L,2003-02-05,D,D
beta[37],-1.8803735735615528,-1.875583367430655,-3.347959752192678,-0.42917298293980694,a5a0b510-df00-f72a-f892-86dc36da148c_PK,PK,a5a0b510-df00-f72a-f892-86dc36da148c,"Clayton, Cole",Clayton,Cole,R,2000-02-29,D,D
beta[38],-0.15712225756946738,-0.14825442450637272,-1.6587591417522516,1.3642444038633246,7a213ae8-292c-bc7f-83dd-7b14bdcadde1_PP,PP,7a213ae8-292c-bc7f-83dd-7b14bdcadde1,"Berggren, Jonatan",Berggren,Jonatan,L,2000-07-16,F,RW
beta[39],0.4786732745680096,0.4788475309578595,-1.172821989316131,2.1366003097504374,a4295efe-fc21-2338-bbe4-dced606dadca_PP,PP,a4295efe-fc21-2338-bbe4-dced606dadca,"Wallinder, William",Wallinder,William,L,2002-07-28,D,D
beta[40],-0.21309145236044041,-0.22600788360890842,-1.6491317060299873,1.2352587160017483,47d857f2-7d2a-edfc-e1c5-73767c716a2f_PK,PK,47d857f2-7d2a-edfc-e1c5-73767c716a2f,"Sweezey, Billy",Sweezey,Billy,R,1996-02-06,D,D
beta[41],-0.116192405345167,-0.13302276894838538,-1.6198112682134267,1.406590275438431,968696dc-b172-bf02-b39b-747e1d1433c0_PK,PK,968696dc-b172-bf02-b39b-747e1d1433c0,"Ahcan, Roman",Ahcan,Roman,L,1999-03-24,F,LW
beta[42],-0.5253496894530505,-0.5152042977351791,-2.027416902380771,0.9645137125310645,4668053a-dbbc-9e0b-5510-71a303a7902d_PP,PP,4668053a-dbbc-9e0b-5510-71a303a7902d,"Mazur, Carter",Mazur,Carter,R,2002-03-28,F,RW
beta[43],0.35439937252825754,0.3410186923603369,-1.1093325275666666,1.8388533206083966,42e3b869-a651-df12-3291-53f0f3320501_PP,PP,42e3b869-a651-df12-3291-53f0f3320501,"Gettinger, Timothy",Gettinger,Timothy,L,1998-04-14,F,LW
beta[44],0.535122904759542,0.540692705832237,-1.0013849160650459,2.0299988228870136,00107e79-8a36-de05-69c7-86087051c558_PP,PP,00107e79-8a36-de05-69c7-86087051c558,"Lombardi, Amadeus",Lombardi,Amadeus,L,2003-06-05,F,C
beta[45],0.2128753476210936,0.21616382005233192,-1.2415321070785288,1.6900440287450036,4772aa22-208f-44a0-8e47-0029da368b48_PP,PP,4772aa22-208f-44a0-8e47-0029da368b48,"Kasper, Marco",Kasper,Marco,L,2004-04-08,F,C
beta[46],1.137535895761946,1.1317116827608145,-0.40552113873553547,2.6831176229173685,4447229a-e693-b7a3-6bbe-f464ae9917c4_PK,PK,4447229a-e693-b7a3-6bbe-f464ae9917c4,"Pyyhtia, Mikael",Pyyhtia,Mikael,L,2001-12-17,F,LW
beta[47],0.19841001035671899,0.2043287159374943,-1.393013301560294,1.7952139575464985,cb8a6b8b-c5a6-4bfe-10b7-15c784b83a7d_PK,PK,cb8a6b8b-c5a6-4bfe-10b7-15c784b83a7d,"Bjork, Marcus",Bjork,Marcus,R,1997-11-24,D,D
beta[48],-1.1370396763710389,-1.1345934137493807,-2.7332131231553447,0.457891917867507,9cdb062f-6fc7-e205-1858-d4f6f32237a4_PP,PP,9cdb062f-6fc7-e205-1858-d4f6f32237a4,"Johansson, Albert",Johansson,Albert,L,2001-01-04,D,D
beta[49],0.07469141645105758,0.09253973232625559,-1.8311941370190992,1.9687103646799955,8682f8c1-304a-51d9-6663-158ca58fa6c9_PP,PP,8682f8c1-304a-51d9-6663-158ca58fa6c9,"Didier, Josiah",Didier,Josiah,R,1993-04-08,D,D
beta[50],0.4199874619517795,0.4124855562648591,-1.4242004367492034,2.266188373045759,f7d87866-fb2a-6a94-5317-d30145102fef_PK,PK,f7d87866-fb2a-6a94-5317-d30145102fef,"Meyer, Carson",Meyer,Carson,R,1997-08-18,F,RW
beta[51],0.5431064534723817,0.5329255596222999,-1.1432350773704483,2.22827291883261,c9060c85-0600-ed69-de2d-6aa7611fc7bc_PK,PK,c9060c85-0600-ed69-de2d-6aa7611fc7bc,"Gaunce, Brendan",Gaunce,Brendan,L,1994-03-25,F,C
beta[52],0.609525523406245,0.6267776714378486,-1.1486535289888447,2.366875511415321,ad4b002b-5fc6-4cdc-1d16-192ced8c9b16_PP,PP,ad4b002b-5fc6-4cdc-1d16-192ced8c9b16,"Gaudet, Jake",Gaudet,Jake,L,1996-06-18,F,C
beta[53],1.543256083580811,1.5478706230554926,-0.2524689804132844,3.346197657748112,2f0d296c-e9df-b8b7-f0e0-a135b8802329_PK,PK,2f0d296c-e9df-b8b7-f0e0-a135b8802329,"Soderblom, Elmer",Soderblom,Elmer,L,2001-07-05,F,LW
beta[54],0.21271280361717712,0.21902646661510938,-1.6252063392158738,2.0330279504929334,d54b6c97-2380-f382-7937-732841fca283_PP,PP,d54b6c97-2380-f382-7937-732841fca283,"Pearson, Justin",Pearson,Justin,L,1998-05-17,F,LW
beta[55],0.8609509388349453,0.8725766297649223,-0.6964551937249798,2.3988000345835205,65195a5e-8639-a163-d566-03adc8582060_PP,PP,65195a5e-8639-a163-d566-03adc8582060,"Tuomisto, Antti",Tuomisto,Antti,R,2001-01-20,D,D
beta[56],-0.13575071602983974,-0.135167306936039,-1.9177617704160734,1.6453434082826037,27be5d93-9bc0-8a87-41dd-e96fea901efc_PK,PK,27be5d93-9bc0-8a87-41dd-e96fea901efc,"Ceulemans, Corson",Ceulemans,Corson,R,2003-05-05,D,D
beta[57],0.1180802113204986,0.11608888107318827,-1.4540456085416396,1.6759423187134264,d54b6c97-2380-f382-7937-732841fca283_PK,PK,d54b6c97-2380-f382-7937-732841fca283,"Pearson, Justin",Pearson,Justin,L,1998-05-17,F,LW
beta[58],0.2558507755011461,0.2522017271204034,-1.2786718804379,1.8126764197641982,ad4b002b-5fc6-4cdc-1d16-192ced8c9b16_PK,PK,ad4b002b-5fc6-4cdc-1d16-192ced8c9b16,"Gaudet, Jake",Gaudet,Jake,L,1996-06-18,F,C
beta[59],0.3697907270373783,0.3538020105371851,-1.0872094367426244,1.8378420020730057,1c7fb1ea-cf20-6a27-04f5-4b782c22a62d_PP,PP,1c7fb1ea-cf20-6a27-04f5-4b782c22a62d,"Toporowski, Luke",Toporowski,Luke,L,2001-04-12,F,LW
beta[60],1.9528692215559382,1.9444420673214031,0.5348622156327001,3.3608594919985757,9529adbf-24fa-a62b-bfdc-a3f80f06ab78_PP,PP,9529adbf-24fa-a62b-bfdc-a3f80f06ab78,"Wallstedt, Jesper",Wallstedt,Jesper,L,2002-11-14,G,G
beta[61],-0.13416653570078774,-0.12295805571866875,-1.5519495385938753,1.2624364606626783,251a2f59-76d1-290c-b7a1-729a090a8aaf_PK,PK,251a2f59-76d1-290c-b7a1-729a090a8aaf,"Donovan, Matt",Donovan,Matt,L,1990-05-09,D,D
beta[62],-0.41224692143538244,-0.40637912634005446,-2.05437276407048,1.2071903305134277,b0ca309f-321f-7119-6c17-cf1437cc9bd8_PK,PK,b0ca309f-321f-7119-6c17-cf1437cc9bd8,"Elynuik, Hudson",Elynuik,Hudson,L,1997-10-12,F,F
beta[63],-0.021601958504450378,-0.00652238861910937,-1.478654624992101,1.4180030511768704,940ea455-65b8-8157-ac39-c3623402f495_PK,PK,940ea455-65b8-8157-ac39-c3623402f495,"Scheel, Adam",Scheel,Adam,L,1999-05-01,G,G
beta[64],-0.04148868104696025,-0.028179197459916136,-1.5117051133499888,1.4376451861917274,0af3f2e3-7646-a092-4313-a467ee77fcdd_PP,PP,0af3f2e3-7646-a092-4313-a467ee77fcdd,"Hunt, Daemon",Hunt,Daemon,L,2002-05-15,D,D
beta[65],0.5300919283062767,0.5238664229863839,-0.9696725328904144,2.0264472063212726,db0333ab-7807-d7a0-6a75-e78b8401080d_PP,PP,db0333ab-7807-d7a0-6a75-e78b8401080d,"Fogarty, Steven",Fogarty,Steven,R,1993-04-19,F,RW
beta[66],0.1179913352423539,0.10712171698116366,-1.357541805105223,1.6168203504285659,6dbb81a4-b033-f2eb-d097-8a60da618a8e_PP,PP,6dbb81a4-b033-f2eb-d097-8a60da618a8e,"Bankier, Caedan",Bankier,Caedan,L,2003-01-26,F,C
beta[67],-1.2141720670700666,-1.2304653631117823,-2.7426008490491336,0.34016330701301206,3368d715-4eb3-12ac-5ca3-637be728e649_PK,PK,3368d715-4eb3-12ac-5ca3-637be728e649,"Comtois, Maxime",Comtois,Maxime,L,1999-01-08,F,F
beta[68],-1.5926783087746348,-1.58637397024909,-3.03173480755235,-0.15469322184943327,62d8d552-b95a-dea2-1bdd-bb508f1d8a81_PK,PK,62d8d552-b95a-dea2-1bdd-bb508f1d8a81,"Fitzgerald, Cavan",Fitzgerald,Cavan,L,1996-08-23,D,D
beta[69],0.421878145403763,0.4292596341622859,-1.2637058648490984,2.120778807285029,db07a598-848d-2552-6cca-9e1ecaa9fd45_PP,PP,db07a598-848d-2552-6cca-9e1ecaa9fd45,"Kent Elson, Turner",Kent Elson,Turner,L,1992-09-13,F,F
beta[70],-0.2767286824605742,-0.2714022011822286,-2.0866434856184433,1.5411531227790098,8928e094-1450-a2f0-bb6f-6fd697d469c4_PK,PK,8928e094-1450-a2f0-bb6f-6fd697d469c4,"Terry, Chris",Terry,Chris,L,1989-04-07,F,F
beta[71],0.01719378502360592,0.025877705582246405,-1.3838388746615486,1.416838650720771,1dfcd1ff-c0ed-4748-a27d-0b8099d066e3_PK,PK,1dfcd1ff-c0ed-4748-a27d-0b8099d066e3,"Dello, Tory",Dello,Tory,R,1997-02-14,D,D
beta[72],1.82208808112469,1.8119724391792933,0.2964606507009473,3.3688015975839445,b2485777-a1f9-23e9-5c28-c99761cd10e2_PK,PK,b2485777-a1f9-23e9-5c28-c99761cd10e2,"Grimaldi, Rocco",Grimaldi,Rocco,R,1993-02-08,F,F
beta[73],0.9084039109980876,0.900058671879842,-0.5848227915281056,2.4229226476444095,e087872f-4407-fbe7-103f-4ade27e4d75a_PK,PK,e087872f-4407-fbe7-103f-4ade27e4d75a,"Sucese, Nate",Sucese,Nate,L,1996-07-12,F,F
beta[74],-0.36406203986290153,-0.37243905196645,-1.8676355037814498,1.1554380752570275,98eea6fc-1c6b-1d5e-b49a-1805806aa62d_PK,PK,98eea6fc-1c6b-1d5e-b49a-1805806aa62d,"Seeley, Ronan",Seeley,Ronan,L,2002-08-02,D,D
beta[75],-0.35081124920364987,-0.3363003520587333,-1.935104789792446,1.2128136471692907,5371f79b-fb56-50aa-237a-c28b6dbbd831_PK,PK,5371f79b-fb56-50aa-237a-c28b6dbbd831,"Mendel, Griffin",Mendel,Griffin,L,1999-02-18,D,D
beta[76],-0.7195235148102247,-0.7108351265746765,-2.0474621756070435,0.595377459817037,2b318d4d-2e7b-6d8c-98a7-7d85c71436c5_PP,PP,2b318d4d-2e7b-6d8c-98a7-7d85c71436c5,"Walker, Sammy",Walker,Sammy,R,1999-06-07,F,F
beta[77],0.0767899244322891,0.0923074503957697,-1.7113453951215005,1.8384543239830868,34f1d587-08e6-10f2-c48d-54fb50d3b881_PP,PP,34f1d587-08e6-10f2-c48d-54fb50d3b881,"Firstov, Vladislav",Firstov,Vladislav,L,2001-06-19,F,F
beta[78],-0.10492530469925813,-0.10120697525248074,-1.6737646053021977,1.445874508889597,57c6f70d-40e1-30b6-e92f-b01c49faf541_PK,PK,57c6f70d-40e1-30b6-e92f-b01c49faf541,"Wagner, Ryan",Wagner,Ryan,L,1996-04-15,F,LW
beta[79],0.5467867042713086,0.5466468462923759,-0.9470663642866654,2.052832486352276,c05db9ee-e2c8-5bba-3a20-cee81b8b04c1_PP,PP,c05db9ee-e2c8-5bba-3a20-cee81b8b04c1,"Butcher, Will",Butcher,Will,L,1995-01-06,D,D
beta[80],0.3437711301975749,0.34498616225848255,-1.273418007579921,1.971380942758262,9085fb56-a0fb-48b9-366b-f9988acec99d_PP,PP,9085fb56-a0fb-48b9-366b-f9988acec99d,"Milne, Michael",Milne,Michael,L,2002-09-21,F,F
beta[81],-0.0104335665206244,-0.004877294669383289,-1.4582280413557067,1.456184090271395,8d839886-a557-ba77-cbae-bc2af117408e_PP,PP,8d839886-a557-ba77-cbae-bc2af117408e,"Teasdale, Joel",Teasdale,Joel,L,1999-03-11,F,LW
beta[82],0.9054280579359071,0.9091136480676688,-0.7488459915826269,2.584217695486333,ae3c26e4-6536-f078-6e78-8ca2db85def8_PK,PK,ae3c26e4-6536-f078-6e78-8ca2db85def8,"Conacher, Cory",Conacher,Cory,L,1989-12-14,F,RW
beta[83],-1.0011316083923414,-0.9977983388546385,-2.4909690431930396,0.4572527237598453,e4f4914a-cdb7-1be0-bfb6-d756aa6b7b8d_PP,PP,e4f4914a-cdb7-1be0-bfb6-d756aa6b7b8d,"Johansson, Simon",Johansson,Simon,R,1999-06-14,D,D
beta[84],-0.23984601159614063,-0.23498561187025585,-1.8297454659926746,1.3461830298733086,7779d05b-bf33-9acd-a1a5-bb2e852f4a3f_PP,PP,7779d05b-bf33-9acd-a1a5-bb2e852f4a3f,"Fensore, Domenick",Fensore,Domenick,L,2001-09-07,D,D
beta[85],-0.5714395679130465,-0.5801632298816418,-1.9836563904686733,0.8660580467004567,0af3f2e3-7646-a092-4313-a467ee77fcdd_PK,PK,0af3f2e3-7646-a092-4313-a467ee77fcdd,"Hunt, Daemon",Hunt,Daemon,L,2002-05-15,D,D
beta[86],-0.8368481460195321,-0.8389934669082266,-2.3698702737061086,0.6948482363486397,b2485777-a1f9-23e9-5c28-c99761cd10e2_PP,PP,b2485777-a1f9-23e9-5c28-c99761cd10e2,"Grimaldi, Rocco",Grimaldi,Rocco,R,1993-02-08,F,F
beta[87],1.1988505150229474,1.198425415725592,-0.32877704018723136,2.721860089766823,940ea455-65b8-8157-ac39-c3623402f495_PP,PP,940ea455-65b8-8157-ac39-c3623402f495,"Scheel, Adam",Scheel,Adam,L,1999-05-01,G,G
beta[88],-0.040522943510790395,-0.04608685792940308,-1.5316135337203178,1.4556028045194083,5e597523-3951-4de6-6d47-6d3fe982366b_PP,PP,5e597523-3951-4de6-6d47-6d3fe982366b,"Schneider, Cole",Schneider,Cole,L,1990-08-26,F,F
beta[89],-0.01811837232343474,-0.028909593921799134,-1.5438109173645684,1.5120003423521329,8928e094-1450-a2f0-bb6f-6fd697d469c4_PP,PP,8928e094-1450-a2f0-bb6f-6fd697d469c4,"Terry, Chris",Terry,Chris,L,1989-04-07,F,F
beta[90],0.5870168694840563,0.5898662937629315,-0.9408347749234002,2.1220775338413067,3368d715-4eb3-12ac-5ca3-637be728e649_PP,PP,3368d715-4eb3-12ac-5ca3-637be728e649,"Comtois, Maxime",Comtois,Maxime,L,1999-01-08,F,F
beta[91],0.145748078111592,0.13836993882525267,-1.3335299946357233,1.6257748283598101,db0333ab-7807-d7a0-6a75-e78b8401080d_PK,PK,db0333ab-7807-d7a0-6a75-e78b8401080d,"Fogarty, Steven",Fogarty,Steven,R,1993-04-19,F,RW
beta[92],-0.19311853245313712,-0.19604739259961237,-1.6914922044626572,1.323394810225175,07b9d16f-b1ac-d33d-ef04-aef2855f5bf7_PK,PK,07b9d16f-b1ac-d33d-ef04-aef2855f5bf7,"Conley, Kevin",Conley,Kevin,L,1997-02-17,F,F
beta[93],0.2997688056110007,0.29304611438819944,-1.2575483207498988,1.8476676617142154,d49cdcaf-2064-d35c-0aff-7d8aa8e3be32_PK,PK,d49cdcaf-2064-d35c-0aff-7d8aa8e3be32,"Spacek, David",Spacek,David,R,2003-02-18,D,D
beta[94],-1.1466113139625966,-1.1440211838948748,-2.591134452000646,0.28382737618329057,9529adbf-24fa-a62b-bfdc-a3f80f06ab78_PK,PK,9529adbf-24fa-a62b-bfdc-a3f80f06ab78,"Wallstedt, Jesper",Wallstedt,Jesper,L,2002-11-14,G,G
beta[95],0.2266970996334579,0.23577844608053777,-1.6685215574510999,2.0970985399867565,5371f79b-fb56-50aa-237a-c28b6dbbd831_PP,PP,5371f79b-fb56-50aa-237a-c28b6dbbd831,"Mendel, Griffin",Mendel,Griffin,L,1999-02-18,D,D
beta[96],-0.9824887736767068,-0.9781357716583905,-2.591230100466164,0.6324968965043735,f487f33a-87b9-43cd-d79f-02dac52c3dfe_PK,PK,f487f33a-87b9-43cd-d79f-02dac52c3dfe,"Meireles, Greg",Meireles,Greg,R,1999-01-01,F,RW
beta[97],-1.3736177780223515,-1.354852588913134,-2.7931684447986997,0.046818140290680134,f045664f-80a6-44de-69e1-20d9f0ae7af4_PK,PK,f045664f-80a6-44de-69e1-20d9f0ae7af4,"O'Rourke, Ryan",O'Rourke,Ryan,L,2002-05-16,D,D
beta[98],0.3530503303354524,0.3424302738273377,-1.3348074378372483,2.059228755950868,9085fb56-a0fb-48b9-366b-f9988acec99d_PK,PK,9085fb56-a0fb-48b9-366b-f9988acec99d,"Milne, Michael",Milne,Michael,L,2002-09-21,F,F
beta[99],-0.4964207723455275,-0.4965076841976379,-2.138195460976452,1.1818923243418689,78f83485-b2fd-78da-b419-b007bedcb832_PK,PK,78f83485-b2fd-78da-b419-b007bedcb832,"Lambos, Carson",Lambos,Carson,L,2003-01-14,D,D
beta[100],-0.31301034257203864,-0.31103651471399274,-1.7904856713176338,1.1754925667050258,251a2f59-76d1-290c-b7a1-729a090a8aaf_PP,PP,251a2f59-76d1-290c-b7a1-729a090a8aaf,"Donovan, Matt",Donovan,Matt,L,1990-05-09,D,D
beta[101],0.3112526329515835,0.3147125226572849,-1.1169217872145323,1.753737603371163,e087872f-4407-fbe7-103f-4ade27e4d75a_PP,PP,e087872f-4407-fbe7-103f-4ade27e4d75a,"Sucese, Nate",Sucese,Nate,L,1996-07-12,F,F
beta[102],0.3745437607881372,0.3574255747377854,-1.4029514718152103,2.1346292738745163,db07a598-848d-2552-6cca-9e1ecaa9fd45_PK,PK,db07a598-848d-2552-6cca-9e1ecaa9fd45,"Kent Elson, Turner",Kent Elson,Turner,L,1992-09-13,F,F
